16/01/2017,17:36,"#100DaysOfCode #codewars, but already several kata w/ errors  (my solutions work in browser console, but fail tests); &amp; #reactjs"
15/01/2017,04:43,#100DaysOfCode Portfolio is done. For now. In this stage of my developer development. Check it out!… https://t.co/cVKD8D5eYk
15/01/2017,01:11,#100DaysOfCode Day 12: Reworking FCC algorithms with increased understanding.
13/01/2017,04:56,#100daysofcode Enough for now. Brought in SVG and Angular for portfolio template. Lot of it not right yet. https://t.co/YD7H7y1WKR
11/01/2017,21:41,"#100DaysOfCode Day 11: I hate Tweeting. Still working on Portfolio, reworking simple PHP page I wasn't able to do last year."
08/01/2017,14:46,#100DaysOfCode Redid TwitchTV w/ new workaround API URL. Made logo (Twitch combined w/ #freecodecamp). https://t.co/hQjaJcbWS8
07/01/2017,23:29,#100DaysOfCode Day 6-Day 7: Still going through process of polishing/fixing/redoing projects for @FreeCodeCamp Front End Cert.
07/01/2017,22:13,I just earned my CS50: Intro to Computer Science offered by HarvardX Certificate on @edXOnline!  https://t.co/FAwpZux5D1
07/01/2017,00:06,"#100DaysOfCode Day 4: More work on Portfolio, changed weather app API to Dark Sky #PRINCE, #purplerain  https://t.co/VLtYCtqs5X"
05/01/2017,18:36,"#100DaysOfCode Day 3: Redoing Portfolio. Also, cleaning up all projects' code for #freecodecamp Front End Certification."
05/01/2017,03:42,#100DaysOfCode Day 2 cont.: Simon done! https://t.co/euslkYD0pp https://t.co/5CIjtJNarb
05/01/2017,01:29,"@_harukimurakami In past 3 months, have read  #1Q84, Hard-Boiled Wonderland and the End of the World, Kafka on the Shore, Sputnik Sweetheart"
04/01/2017,20:40,"#100DaysOfCode Day 2: I did it! I finished Simon! (JS, anyway--have to make it responsive still.) https://t.co/N9LwhLMU3D"
03/01/2017,16:18,"Day 1 #100DaysOfCode, despite massive headache; worked on Simon (still has probs) and did some Codewars; more later!"
02/01/2017,14:43,"Committing to the 100DaysOfCode Challenge starting January 3, 2017. Join me! https://t.co/fQRuRXNrDP #100DaysOfCode"
23/12/2016,23:39,"RT @ossia: If you didn't have plans for New Year's Eve, well now you do 😉 https://t.co/pWCjM4GDSz #Open2017"
